"id","timestamp","open_price","high_price","low_price","close_price"
1359,2021-05-06 03:00:00.000,57436.11,58360,55200,56393.68
1360,2021-05-07 03:00:00.000,56393.68,58650,55241.63,57314.75
1361,2021-05-08 03:00:00.000,57315.49,59500,56900,58862.05
1362,2021-05-09 03:00:00.000,58866.53,59300,56235.66,58240.84
1363,2021-05-10 03:00:00.000,58240.83,59500,53400,55816.14
1364,2021-05-11 03:00:00.000,55816.14,56862.43,54370,56670.02
1365,2021-05-12 03:00:00.000,56670.02,58000.01,48600,49631.32
1366,2021-05-13 03:00:00.000,49537.15,51367.19,46000,49670.97
1367,2021-05-14 03:00:00.000,49671.92,51483,48799.75,49841.45
1368,2021-05-15 03:00:00.000,49844.16,50700,46555,46762.99
1369,2021-05-16 03:00:00.000,46762.99,49795.89,43825.39,46431.5
1370,2021-05-17 03:00:00.000,46426.83,46686,42001,43538.04
1371,2021-05-18 03:00:00.000,43538.02,45799.29,42250.02,42849.78
1372,2021-05-19 03:00:00.000,42849.78,43584.9,30000,36690.09
1373,2021-05-20 03:00:00.000,36671.23,42451.67,34850,40526.64
1374,2021-05-21 03:00:00.000,40525.39,42200,33488,37252.01
1375,2021-05-22 03:00:00.000,37263.35,38829,35200.62,37449.73
1376,2021-05-23 03:00:00.000,37458.51,38270.64,31111.01,34655.25
1377,2021-05-24 03:00:00.000,34681.44,39920,34031,38796.29
1378,2021-05-25 03:00:00.000,38810.99,39791.77,36419.62,38324.72
1379,2021-05-26 03:00:00.000,38324.72,40841,37800.44,39241.91
1380,2021-05-27 03:00:00.000,39241.92,40411.14,37134.27,38529.98
1381,2021-05-28 03:00:00.000,38529.99,38877.83,34684,35663.49
1382,2021-05-29 03:00:00.000,35661.79,37338.58,33632.76,34605.15
1383,2021-05-30 03:00:00.000,34605.15,36488,33379,35641.27
1384,2021-05-31 03:00:00.000,35641.26,37499,34153.84,37253.81
1385,2021-06-01 03:00:00.000,37253.82,37894.81,35666,36693.09
1386,2021-06-02 03:00:00.000,36694.85,38225,35920,37568.68
